Model,R2,MAE,RMSE
Linear Regression,0.8715274812638705,0.10739088526342301,0.15483663561273847
Decision Tree,0.7394798524096493,0.15073734412942788,0.2204901863784319
Random Forest,0.8782748928563346,0.1014555937321043,0.15071576752345828
