Model,MAE,R2,Residual_Min,Residual_Max
Random Forest,0.7809920161591117,-12.70024709060995,0.4841998948874462,1.0811623101019112
XGBoost,0.9212325411085382,-17.57314234148594,0.696700947479691,1.252385769927331
